Data,Hora,Download,Upload,ID do Servidor,Nome do Servidor,IP,Ping
05 May 2023,22:36,184.70 Mb/s,117.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,6329
05 May 2023,22:37,311.24 Mb/s,137.40 Mb/s,12717,Bento Gonçalves,138.59.48.128,5819
05 May 2023,22:38,310.13 Mb/s,39.58 Mb/s,12717,Bento Gonçalves,138.59.48.128,5350
05 May 2023,22:39,311.25 Mb/s,175.11 Mb/s,12717,Bento Gonçalves,138.59.48.128,6013
05 May 2023,22:40,311.16 Mb/s,105.04 Mb/s,12717,Bento Gonçalves,138.59.48.128,5673
05 May 2023,22:41,311.19 Mb/s,117.06 Mb/s,12717,Bento Gonçalves,138.59.48.128,5944
05 May 2023,22:42,311.21 Mb/s,87.45 Mb/s,12717,Bento Gonçalves,138.59.48.128,5919
05 May 2023,22:43,311.15 Mb/s,160.42 Mb/s,12717,Bento Gonçalves,138.59.48.128,6268
05 May 2023,22:44,311.22 Mb/s,83.50 Mb/s,12717,Bento Gonçalves,138.59.48.128,6245
05 May 2023,22:45,309.66 Mb/s,167.44 Mb/s,12717,Bento Gonçalves,138.59.48.128,6203
05 May 2023,22:46,310.89 Mb/s,175.05 Mb/s,12717,Bento Gonçalves,138.59.48.128,6110
05 May 2023,22:47,311.12 Mb/s,168.73 Mb/s,12717,Bento Gonçalves,138.59.48.128,5739
05 May 2023,22:48,310.24 Mb/s,110.51 Mb/s,12717,Bento Gonçalves,138.59.48.128,5432
05 May 2023,22:49,309.78 Mb/s,155.46 Mb/s,12717,Bento Gonçalves,138.59.48.128,5699
05 May 2023,22:50,311.15 Mb/s,105.69 Mb/s,12717,Bento Gonçalves,138.59.48.128,5349
05 May 2023,22:51,311.22 Mb/s,120.49 Mb/s,12717,Bento Gonçalves,138.59.48.128,5731
05 May 2023,22:52,310.18 Mb/s,93.86 Mb/s,12717,Bento Gonçalves,138.59.48.128,5399
05 May 2023,22:53,310.99 Mb/s,171.22 Mb/s,12717,Bento Gonçalves,138.59.48.128,5649
05 May 2023,22:54,309.93 Mb/s,170.03 Mb/s,12717,Bento Gonçalves,138.59.48.128,5711
05 May 2023,22:55,310.13 Mb/s,174.12 Mb/s,12717,Bento Gonçalves,138.59.48.128,5708
05 May 2023,22:56,311.12 Mb/s,166.93 Mb/s,12717,Bento Gonçalves,138.59.48.128,5942
05 May 2023,22:57,311.20 Mb/s,172.59 Mb/s,12717,Bento Gonçalves,138.59.48.128,5342
05 May 2023,22:58,310.09 Mb/s,161.05 Mb/s,12717,Bento Gonçalves,138.59.48.128,5790
05 May 2023,22:59,309.81 Mb/s,55.31 Mb/s,12717,Bento Gonçalves,138.59.48.128,5518
05 May 2023,23:00,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,23:01,311.10 Mb/s,88.63 Mb/s,12717,Bento Gonçalves,138.59.48.128,5013
05 May 2023,23:02,311.22 Mb/s,162.55 Mb/s,12717,Bento Gonçalves,138.59.48.128,5370
05 May 2023,23:03,311.12 Mb/s,108.27 Mb/s,12717,Bento Gonçalves,138.59.48.128,5952
05 May 2023,23:04,311.09 Mb/s,103.68 Mb/s,12717,Bento Gonçalves,138.59.48.128,5456
05 May 2023,23:05,311.20 Mb/s,113.28 Mb/s,12717,Bento Gonçalves,138.59.48.128,6140
05 May 2023,23:06,181.26 Mb/s,169.44 Mb/s,12717,Bento Gonçalves,138.59.48.128,5375
05 May 2023,23:07,311.16 Mb/s,120.97 Mb/s,12717,Bento Gonçalves,138.59.48.128,5040
05 May 2023,23:08,311.26 Mb/s,159.56 Mb/s,12717,Bento Gonçalves,138.59.48.128,6051
05 May 2023,23:09,311.17 Mb/s,172.75 Mb/s,12717,Bento Gonçalves,138.59.48.128,5695
05 May 2023,23:10,310.39 Mb/s,161.72 Mb/s,12717,Bento Gonçalves,138.59.48.128,6107
05 May 2023,23:11,310.83 Mb/s,66.50 Mb/s,12717,Bento Gonçalves,138.59.48.128,5642
05 May 2023,23:12,285.42 Mb/s,120.37 Mb/s,12717,Bento Gonçalves,138.59.48.128,5674
05 May 2023,23:13,311.20 Mb/s,152.96 Mb/s,12717,Bento Gonçalves,138.59.48.128,5803
05 May 2023,23:14,293.79 Mb/s,96.76 Mb/s,12717,Bento Gonçalves,138.59.48.128,6036
05 May 2023,23:15,311.21 Mb/s,162.74 Mb/s,12717,Bento Gonçalves,138.59.48.128,4593
05 May 2023,23:16,286.15 Mb/s,84.47 Mb/s,12717,Bento Gonçalves,138.59.48.128,5031
05 May 2023,23:17,311.17 Mb/s,100.78 Mb/s,12717,Bento Gonçalves,138.59.48.128,5937
05 May 2023,23:18,234.27 Mb/s,90.95 Mb/s,12717,Bento Gonçalves,138.59.48.128,5867
05 May 2023,23:19,311.21 Mb/s,83.45 Mb/s,12717,Bento Gonçalves,138.59.48.128,6121
05 May 2023,23:20,219.56 Mb/s,172.22 Mb/s,12717,Bento Gonçalves,138.59.48.128,5836
05 May 2023,23:21,310.50 Mb/s,104.80 Mb/s,12717,Bento Gonçalves,138.59.48.128,5949
05 May 2023,23:22,284.24 Mb/s,83.26 Mb/s,12717,Bento Gonçalves,138.59.48.128,5249
05 May 2023,23:23,311.16 Mb/s,151.46 Mb/s,12717,Bento Gonçalves,138.59.48.128,5560
05 May 2023,23:24,291.45 Mb/s,117.63 Mb/s,12717,Bento Gonçalves,138.59.48.128,5622
05 May 2023,23:25,311.15 Mb/s,109.86 Mb/s,12717,Bento Gonçalves,138.59.48.128,5368
05 May 2023,23:26,290.37 Mb/s,153.57 Mb/s,12717,Bento Gonçalves,138.59.48.128,5889
05 May 2023,23:27,311.17 Mb/s,148.03 Mb/s,12717,Bento Gonçalves,138.59.48.128,5540
05 May 2023,23:28,299.92 Mb/s,159.66 Mb/s,12717,Bento Gonçalves,138.59.48.128,5232
05 May 2023,23:29,311.24 Mb/s,83.22 Mb/s,12717,Bento Gonçalves,138.59.48.128,5759
05 May 2023,23:30,0.00 Mb/s,0.00 Mb/s,,,,0
05 May 2023,23:31,311.22 Mb/s,155.30 Mb/s,12717,Bento Gonçalves,138.59.48.128,5601
05 May 2023,23:32,301.77 Mb/s,107.40 Mb/s,12717,Bento Gonçalves,138.59.48.128,5274
05 May 2023,23:33,310.85 Mb/s,81.33 Mb/s,12717,Bento Gonçalves,138.59.48.128,5513
